iso3,year,healthcare_expenditure
SUR,2011,4.40932178
SVK,2011,7.3
SVN,2011,8.54
SWE,2011,10.42
SWZ,2011,8.46997261
SYC,2011,4.46079111
SYR,2011,2.52865291
TCD,2011,3.91046357
TGO,2011,4.55412722
THA,2011,3.56825495
TJK,2011,5.86
TKM,2011,3.24805617
TLS,2011,6.86541462
TON,2011,3.82126665
TTO,2011,4.72197914
TUN,2011,6.12299299
TUR,2011,4.65
TUV,2011,14.10340405
TZA,2011,5.0559845
UGA,2011,6.6959095
UKR,2011,6.82
URY,2011,7.94897985
USA,2011,16.13996315
UZB,2011,5.26
VCT,2011,4.23108053
VNM,2011,4.97468519
VUT,2011,3.59819388
WSM,2011,5.38357162
YEM,2011,4.7695322
ZAF,2011,7.94434404
ZMB,2011,3.95913363
ZWE,2011,8.08288383
AFG,2012,7.89716864
AGO,2012,2.39574957
ALB,2012,6.15746212
AND,2012,6.71083689
ARE,2012,3.33596373
ARG,2012,9.82726669
ARM,2012,9.13
ATG,2012,5.47921467
AUS,2012,8.67456913
AUT,2012,10.2
AZE,2012,3.16
BDI,2012,8.63756466
BEL,2012,10.50204754
BEN,2012,3.07562971
BFA,2012,4.60267258
BGD,2012,2.3537879
BGR,2012,7.54
BHR,2012,4.10642147
BHS,2012,5.3190918
BIH,2012,9.49
BLR,2012,5.25
BLZ,2012,4.36242819
BOL,2012,5.2539444
BRA,2012,7.73637724
BRB,2012,7.77819967
BRN,2012,1.85097206
BTN,2012,3.61913681
BWA,2012,6.35010576
CAF,2012,3.91814446
CAN,2012,10.50971508
CHE,2012,10.14446354
CHL,2012,7.01951313
CHN,2012,4.56584787
CIV,2012,4.4273715
CMR,2012,3.9310236
COD,2012,3.2215035
COG,2012,1.90971065
COL,2012,6.74601603
COM,2012,5.17354631
CPV,2012,5.13365459
CRI,2012,7.78642321
CUB,2012,9.29940987
CYP,2012,6.54
CZE,2012,7.62448311
DEU,2012,10.85345554
DJI,2012,3.299927
DMA,2012,5.79509926
DNK,2012,10.52
DOM,2012,5.04897833
DZA,2012,6.00050974
ECU,2012,6.86373377
EGY,2012,4.45891809
ERI,2012,3.7449646
ESP,2012,9.15415382
EST,2012,6.09506845
ETH,2012,4.5395956
FIN,2012,9.59
FJI,2012,3.2655499
FRA,2012,11.29740047
FSM,2012,12.27709675
GAB,2012,2.42097569
GBR,2012,9.95296001
GEO,2012,8.05
GHA,2012,4.00799608
GIN,2012,3.50398517
GMB,2012,4.26872253
GNB,2012,5.94134808
GNQ,2012,1.51459265
GRC,2012,8.92415524
GRD,2012,5.82235765
GTM,2012,6.07316971
GUY,2012,3.7081871
HND,2012,8.65655136
HRV,2012,7.68
HTI,2012,5.56462336
HUN,2012,7.41
IDN,2012,2.91427088
IND,2012,3.33
IRL,2012,10.59787655
IRN,2012,6.12235117
IRQ,2012,2.69365859
ISL,2012,8.18
ISR,2012,6.98
ITA,2012,8.78
JAM,2012,4.88512897
JOR,2012,7.81799555
JPN,2012,10.67
KAZ,2012,3.04
KEN,2012,5.0180583
KGZ,2012,8.51
KHM,2012,7.26115417
KIR,2012,8.69
KNA,2012,5.00998354
KOR,2012,6.0325017
KWT,2012,2.33311439
LAO,2012,2.07637572
LBN,2012,7.00420094
LBR,2012,8.15444565
LCA,2012,4.9241581
LKA,2012,3.31
LSO,2012,10.04389858
LTU,2012,6.28
LUX,2012,5.29
LVA,2012,5.41
MAR,2012,5.39619017
MCO,2012,4.7558527
MDA,2012,9.14
MDG,2012,3.9110589
MDV,2012,8.67
MEX,2012,5.66522074
MHL,2012,13.03814125
MKD,2012,6.61
MLI,2012,3.7521615
MLT,2012,8.38
MMR,2012,2.41
MNE,2012,8.3
MNG,2012,3.85800076
MOZ,2012,5.24640608
MRT,2012,2.64919329
MUS,2012,4.21993399
MWI,2012,6.02199793
MYS,2012,3.45786357
NAM,2012,9.26659298
NER,2012,4.30732679
NGA,2012,3.35984254
NIC,2012,7.48836899
NLD,2012,10.54
NOR,2012,8.72
NPL,2012,4.49
NRU,2012,8.84148979
NZL,2012,9.65163612
OMN,2012,2.27702832
