iso3,year,urbanisation_rate
DEU,2010,76.966
DJI,2010,76.999
DMA,2010,68.094
DNK,2010,86.795
DOM,2010,73.753
DZA,2010,67.54
ECU,2010,62.69
EGY,2010,43.019
ERI,2010,35.175
ESP,2010,78.442
EST,2010,68.094
ETH,2010,17.319
FIN,2010,83.77
FJI,2010,52.171
FRA,2010,78.369
FRO,2010,40.926
FSM,2010,22.298
GAB,2010,85.533
GBR,2010,81.302
GEO,2010,55.535
GHA,2010,50.713
GIB,2010,100.0
GIN,2010,33.678
GMB,2010,55.662
GNB,2010,40.111
GNQ,2010,65.94
GRC,2010,76.292
GRD,2010,35.865
GRL,2010,84.383
GTM,2010,48.403
GUM,2010,94.099
GUY,2010,26.634
HKG,2010,100.0
HND,2010,51.885
HRV,2010,55.155
HTI,2010,47.509
HUN,2010,68.911
IDN,2010,49.914
IMN,2010,51.994
IND,2010,30.93
IRL,2010,61.542
IRN,2010,70.626
IRQ,2010,69.103
ISL,2010,93.574
ISR,2010,91.826
ITA,2010,68.327
JAM,2010,53.743
JOR,2010,86.088
JPN,2010,90.812
KAZ,2010,56.827
KEN,2010,23.571
KGZ,2010,35.306
KHM,2010,20.294
KIR,2010,47.39
KNA,2010,31.322
KOR,2010,81.936
KWT,2010,100.0
LAO,2010,30.064
LBN,2010,87.334
LBR,2010,47.813
LBY,2010,78.052
LCA,2010,18.45
LIE,2010,14.464
LKA,2010,18.226
LSO,2010,24.798
LTU,2010,66.757
LUX,2010,88.547
LVA,2010,67.841
MAC,2010,100.0
MAR,2010,58.018
MCO,2010,100.0
MDA,2010,42.62
MDG,2010,31.938
MDV,2010,36.434
MEX,2010,77.815
MHL,2010,73.568
MKD,2010,57.089
MLI,2010,35.999
MLT,2010,94.072
MMR,2010,28.885
MNE,2010,64.14
MNG,2010,67.567
MNP,2010,90.949
MOZ,2010,31.83
MRT,2010,46.588
MUS,2010,41.555
MWI,2010,15.544
MYS,2010,70.912
NAM,2010,41.616
NCL,2010,67.102
NER,2010,16.221
NGA,2010,43.48
NIC,2010,56.917
NLD,2010,87.134
NOR,2010,79.102
NPL,2010,16.768
NRU,2010,100.0
NZL,2010,86.16
OMN,2010,75.161
PAK,2010,34.997
PAN,2010,65.14
PER,2010,76.43
PHL,2010,45.332
PLW,2010,74.817
PNG,2010,13.019
POL,2010,60.892
PRI,2010,93.825
PRK,2010,60.377
PRT,2010,60.567
PRY,2010,59.261
PSE,2010,74.149
PYF,2010,60.317
QAT,2010,98.501
ROU,2010,53.829
RUS,2010,73.687
RWA,2010,16.934
SAU,2010,82.084
SDN,2010,33.089
SEN,2010,43.773
SGP,2010,100.0
SLB,2010,20.048
SLE,2010,38.856
SLV,2010,65.452
SMR,2010,95.74
SOM,2010,39.31
SRB,2010,54.993
SSD,2010,17.86
STP,2010,64.952
SUR,2010,66.344
SVK,2010,54.685
SVN,2010,52.658
SWE,2010,85.056
SWZ,2010,22.48
SYC,2010,53.336
SYR,2010,55.6
TCA,2010,90.228
TCD,2010,21.985
TGO,2010,37.533
THA,2010,43.856
TJK,2010,26.52
TKM,2010,48.491
TLS,2010,27.732
TON,2010,23.389
TTO,2010,54.025
TUN,2010,66.657
TUR,2010,70.825
TUV,2010,54.796
TZA,2010,28.114
UGA,2010,19.383
UKR,2010,68.596
URY,2010,94.414
USA,2010,80.772
UZB,2010,50.956
VCT,2010,48.961
VEN,2010,88.083
VIR,2010,94.594
VNM,2010,30.417
VUT,2010,24.462
WSM,2010,20.078
YEM,2010,31.776
ZAF,2010,62.218
ZMB,2010,39.355
ZWE,2010,33.196
ABW,2011,42.94
AFG,2011,23.948
AGO,2011,60.528
ALB,2011,53.247
AND,2011,88.726
ARE,2011,84.423
ARG,2011,90.99
ARM,2011,63.34
ASM,2011,87.502
ATG,2011,25.703
AUS,2011,85.3
AUT,2011,57.115
AZE,2011,53.637
BDI,2011,10.915
BEL,2011,97.698
BEN,2011,43.608
BFA,2011,25.196
BGD,2011,31.225
BGR,2011,72.638
BHR,2011,88.695
BHS,2011,82.476
BIH,2011,45.878
BLR,2011,75.188
BLZ,2011,45.228
BMU,2011,100.0
BOL,2011,66.874
BRA,2011,84.631
BRB,2011,31.7
BRN,2011,75.31
BTN,2011,35.585
BWA,2011,63.865
CAF,2011,39.135
CAN,2011,81.096
CHE,2011,73.631
CHL,2011,87.132
CHN,2011,50.511
CIV,2011,47.751
CMR,2011,52.164
COD,2011,40.544
COG,2011,63.712
COL,2011,78.335
COM,2011,28.04
CPV,2011,62.322
CRI,2011,72.868
CUB,2011,76.689
CYM,2011,100.0
CYP,2011,67.406
CZE,2011,73.185
DEU,2011,77.16
DJI,2011,77.064
DMA,2011,68.389
DNK,2011,86.957
DOM,2011,74.827
DZA,2011,68.236
ECU,2011,62.851
EGY,2011,43.0
ERI,2011,35.771
ESP,2011,78.673
EST,2011,67.965
ETH,2011,17.735
FIN,2011,84.313
FJI,2011,52.683
FRA,2011,78.622
FRO,2011,41.088
FSM,2011,22.305
GAB,2011,86.092
GBR,2011,81.57
GEO,2011,55.919
GHA,2011,51.394
GIB,2011,100.0
GIN,2011,33.966
GMB,2011,56.384
GNB,2011,40.508
GNQ,2011,67.488
GRC,2011,76.649
GRD,2011,35.859
GRL,2011,84.755
GTM,2011,48.701
GUM,2011,94.188
GUY,2011,26.4
HKG,2011,100.0
HND,2011,52.543
HRV,2011,55.322
HTI,2011,48.492
HUN,2011,69.358
IDN,2011,50.595
IMN,2011,52.012
IND,2011,31.276
IRL,2011,61.742
IRN,2011,71.2
IRQ,2011,69.268
ISL,2011,93.587
ISR,2011,91.892
ITA,2011,68.444
JAM,2011,53.93
JOR,2011,87.172
JPN,2011,91.069
KAZ,2011,56.9
KEN,2011,23.969
KGZ,2011,35.352
KHM,2011,20.663
KIR,2011,48.235
KNA,2011,31.182
KOR,2011,81.923
KWT,2011,100.0
LAO,2011,30.66
LBN,2011,87.484
LBR,2011,48.193
LBY,2011,78.277
LCA,2011,18.45
LIE,2011,14.41
LKA,2011,18.211
LSO,2011,25.31
LTU,2011,66.741
LUX,2011,88.906
LVA,2011,67.869
MAC,2011,100.0
MAR,2011,58.581
MCO,2011,100.0
MDA,2011,42.589
MDG,2011,32.58
MDV,2011,36.849
MEX,2011,78.111
MHL,2011,74.038
MKD,2011,57.092
MLI,2011,36.799
MLT,2011,94.141
MMR,2011,29.075
MNE,2011,64.472
MNG,2011,67.963
MNP,2011,91.028
MOZ,2011,32.336
MRT,2011,47.493
MUS,2011,41.444
MWI,2011,15.672
MYS,2011,71.609
NAM,2011,42.637
NCL,2011,67.565
NER,2011,16.216
NGA,2011,44.366
NIC,2011,57.113
NLD,2011,87.879
NOR,2011,79.455
NPL,2011,17.108
NRU,2011,100.0
NZL,2011,86.1
OMN,2011,76.183
PAK,2011,35.202
PAN,2011,65.437
PER,2011,76.617
PHL,2011,45.522
