iso3,year,population
MCO,2011,33968
KNA,2011,46916
PHL,2011,98248616
MHL,2011,51927
MTQ,2011,394577
AND,2011,77801
PER,2011,29304083
MLT,2011,424634
MAF,2011,37094
MNG,2011,2745182
AUS,2011,22479778
PRY,2011,5814634
LCA,2011,171813
ZMB,2011,14437795
BLM,2011,9112
POL,2011,38208644
UGA,2011,33354540
MEX,2011,115243504
AGO,2011,24218358
FSM,2011,107713
REU,2011,846788
MYT,2011,212995
PRI,2011,3683711
MUS,2011,1286271
ROU,2011,20282008
PRT,2011,10557049
RUS,2011,144043751
MRT,2011,3502814
RWA,2011,10573742
MDA,2011,3557278
TUN,2011,10886041
SPM,2011,6036
MLI,2011,16469051
UKR,2011,46307852
MDV,2011,373682
PSE,2011,4115912
SRB,2011,7364857
ZWE,2011,13595422
LUX,2011,518583
SYC,2011,97041
PLW,2011,18097
SLE,2011,6387259
QAT,2011,1810958
MOZ,2011,23649044
LTU,2011,3028642
SGP,2011,5182242
TUV,2011,10804
TON,2011,107584
SVK,2011,5398104
LIE,2011,36295
SEN,2011,12958902
DZA,2011,36903375
ARM,2011,2923267
MAR,2011,32912586
MNE,2011,632691
VCT,2011,109366
PNG,2011,7859350
WSM,2011,194726
MYS,2011,29162033
TTO,2011,1394990
MWI,2011,15265026
MSR,2011,4846
SMR,2011,32194
AIA,2011,13593
PAN,2011,3693508
MDG,2011,22822305
STP,2011,185665
ASM,2011,54917
SAU,2011,26105636
MAC,2011,575645
NIC,2011,5819054
BIH,2011,3741800
GAB,2011,1781986
GUY,2011,746158
CMR,2011,20232312
HRV,2011,4280827
DMA,2011,69072
GRC,2011,11108841
BHR,2011,1206734
IRN,2011,78383602
GUF,2011,239525
CHL,2011,17351811
KHM,2011,14722587
YEM,2011,27582901
DOM,2011,9945622
FRA,2011,63733777
CIV,2011,22982002
BDI,2011,9717980
BOL,2011,10348932
IRQ,2011,32161425
BMU,2011,63751
DEU,2011,80857877
GNB,2011,1608084
FIN,2011,5388236
TLS,2011,1110212
BFA,2011,16661907
IRL,2011,4579604
CHN,2011,1360250657
IDN,2011,249470029
PYF,2011,271732
DJI,2011,948566
BEN,2011,10093626
CYM,2011,55630
HND,2011,8540587
HKG,2011,7142969
GEO,2011,3868723
BLR,2011,9472737
CYP,2011,1146492
CAF,2011,4565022
CZE,2011,10495508
CPV,2011,511453
VIR,2011,105398
HUN,2011,9946675
GMB,2011,1983784
FJI,2011,912991
GHA,2011,26095090
VEN,2011,29185219
ISL,2011,319140
COD,2011,70849311
BTN,2011,709387
GIB,2011,31684
TCD,2011,12755003
CAN,2011,34555450
HTI,2011,9914904
IND,2011,1261224952
BGD,2011,153591075
DNK,2011,5570846
CUB,2011,11301577
WLF,2011,12941
BEL,2011,11038627
UZB,2011,28823194
GGY,2011,61699
GNQ,2011,1241843
GTM,2011,14792122
BLZ,2011,327307
BRN,2011,399395
JPN,2011,128096431
FLK,2011,3205
VAT,2011,624
BHS,2011,371738
ITA,2011,60367882
COL,2011,45259614
COK,2011,17478
BRB,2011,276149
SWZ,2011,1117845
GLP,2011,409063
URY,2011,3326829
ESH,2011,425092
ETH,2011,93149977
COM,2011,668064
JAM,2011,2760492
SLV,2011,6090128
JEY,2011,98039
ISR,2011,7471021
BRA,2011,195284736
ECU,2011,15326231
EST,2011,1327366
CRI,2011,4609834
GIN,2011,10656812
EGY,2011,91093068
IMN,2011,84397
FRO,2011,47957
ERI,2011,2998493
VNM,2011,88468314
COG,2011,4609728
USA,2011,314105078
BGR,2011,7380021
VUT,2011,243484
BWA,2011,2073537
GUM,2011,166554
GRD,2011,112095
GRL,2011,56853
CUB,2012,11303173
MAR,2012,33355247
MOZ,2012,24337849
CYP,2012,1165402
MEX,2012,116818209
TUV,2012,10960
GHA,2012,26734272
ABW,2012,101774
KNA,2012,47056
STP,2012,189452
URY,2012,3335405
DEU,2012,80916393
MCO,2012,34738
HRV,2012,4259234
GIB,2012,32054
GRL,2012,56797
TTO,2012,1403815
ZMB,2012,14913632
WSM,2012,196517
BMU,2012,63665
MNG,2012,2795463
