SpatialDim,TimeDim,NumericValue
BHS,2001,1201.138
BHS,2002,1180.235
BHS,2003,1230.584
BHS,2004,1370.106
BHS,2005,1343.161
BHS,2006,1427.891
BHS,2007,1415.497
BHS,2008,1470.133
BHS,2009,1523.146
BHS,2010,1572.209
BHS,2011,1621.645
BHS,2012,1621.838
BHS,2013,1612.372
BHS,2014,1636.485
BHS,2015,1723.674
BHS,2016,1795.069
BHS,2017,1827.613
BHS,2018,1943.438
BHS,2019,2011.703
BIH,2000,25673.78
BIH,2001,27534.61
BIH,2002,29032.63
BIH,2003,29892.93
BIH,2004,30533.19
BIH,2005,31957.86
BIH,2006,32568.75
BIH,2007,34792.63
BIH,2008,33951.32
BIH,2009,34559.67
BIH,2010,34837.89
BIH,2011,35351.13
BIH,2012,34918.96
BIH,2013,34744.34
BIH,2014,34284.0
BIH,2015,33958.68
BIH,2016,34094.57
BIH,2017,34438.97
BIH,2018,35142.1
BIH,2019,35685.28
BLR,2000,116305.4
BLR,2001,122231.2
BLR,2002,128572.5
BLR,2003,125568.6
BLR,2004,122382.0
BLR,2005,122751.8
BLR,2006,121415.7
BLR,2007,117471.7
BLR,2008,118011.8
BLR,2009,119043.2
BLR,2010,121050.9
BLR,2011,120371.8
BLR,2012,114736.5
BLR,2013,114553.7
BLR,2014,111234.1
BLR,2015,109367.6
BLR,2016,110205.8
BLR,2017,109638.5
BLR,2018,110823.1
BLR,2019,107737.6
BLZ,2000,769.9575
BLZ,2001,698.2635
BLZ,2002,682.614
BLZ,2003,681.1987
BLZ,2004,700.9534
BLZ,2005,658.2665
BLZ,2006,703.6778
BLZ,2007,721.21
BLZ,2008,719.1024
BLZ,2009,804.4023
BLZ,2010,876.7786
BLZ,2011,895.9623
BLZ,2012,909.0139
BLZ,2013,931.8143
BLZ,2014,991.1168
BLZ,2015,1027.674
BLZ,2016,1053.141
BLZ,2017,1115.85
BLZ,2018,1158.273
BLZ,2019,1228.985
BOL,2000,35628.8
BOL,2001,36143.15
BOL,2002,36855.08
BOL,2003,37454.92
BOL,2004,38016.27
BOL,2005,38782.68
BOL,2006,39498.84
BOL,2007,41060.93
BOL,2008,42173.16
BOL,2009,43490.88
BOL,2010,44818.06
BOL,2011,46872.21
BOL,2012,48468.45
