SpatialDim,TimeDim,NumericValue
BTN,2004,598.5207
BTN,2005,593.6858
BTN,2006,587.5106
BTN,2007,582.2412
BTN,2008,575.4093
BTN,2009,570.1933
BTN,2010,561.6434
BTN,2011,558.8384
BTN,2012,558.8258
BTN,2013,557.8521
BTN,2014,556.4506
BTN,2015,553.8483
BTN,2016,545.3086
BTN,2017,550.9731
BTN,2018,548.1467
BTN,2019,545.5936
BWA,2000,1017.445
BWA,2001,1015.469
BWA,2002,1002.175
BWA,2003,989.0806
BWA,2004,980.6343
BWA,2005,971.4807
BWA,2006,932.6203
BWA,2007,892.8159
BWA,2008,879.4435
BWA,2009,836.5858
BWA,2010,821.8852
BWA,2011,815.4093
BWA,2012,814.2465
BWA,2013,807.3794
BWA,2014,794.7628
BWA,2015,783.3272
BWA,2016,767.1024
BWA,2017,760.1081
BWA,2018,754.1115
BWA,2019,728.2663
CAF,2000,1058.896
CAF,2001,1038.124
CAF,2002,1037.029
CAF,2003,1022.345
CAF,2004,1008.958
CAF,2005,995.1874
CAF,2006,1008.467
CAF,2007,1000.402
CAF,2008,991.4949
CAF,2009,1006.566
CAF,2010,1002.364
CAF,2011,995.3439
CAF,2012,982.9266
CAF,2013,978.8602
CAF,2014,974.051
CAF,2015,968.4614
CAF,2016,948.9767
CAF,2017,943.3201
CAF,2018,924.2461
CAF,2019,911.1475
CAN,2000,410.5258
CAN,2001,400.8823
CAN,2002,395.4342
CAN,2003,387.7565
CAN,2004,376.5039
CAN,2005,369.7522
CAN,2006,355.838
CAN,2007,354.0722
CAN,2008,347.8774
CAN,2009,335.8882
CAN,2010,327.2321
CAN,2011,319.4794
CAN,2012,315.9403
CAN,2013,314.5137
CAN,2014,314.3606
CAN,2015,311.9243
CAN,2016,311.6964
CAN,2017,311.348
CAN,2018,303.8633
CAN,2019,301.3001
CHE,2000,381.0476
CHE,2001,370.8961
CHE,2002,360.3935
CHE,2003,364.4366
CHE,2004,344.0188
CHE,2005,339.8486
CHE,2006,329.4014
CHE,2007,324.3604
CHE,2008,316.9611
CHE,2009,315.2969
CHE,2010,309.7016
CHE,2011,302.551
CHE,2012,303.034
CHE,2013,299.9474
CHE,2014,287.0108
CHE,2015,294.0713
CHE,2016,277.7942
CHE,2017,279.2865
CHE,2018,274.5766
CHE,2019,269.5769
CHL,2000,450.1241
CHL,2001,456.8088
CHL,2002,441.6707
CHL,2003,443.9148
CHL,2004,439.4175
CHL,2005,425.8773
CHL,2006,405.9418
CHL,2007,410.093
CHL,2008,383.3156
CHL,2009,392.1218
CHL,2010,402.1875
CHL,2011,380.3507
CHL,2012,379.7392
CHL,2013,367.8437
CHL,2014,361.998
CHL,2015,357.731
CHL,2016,348.8799
CHL,2017,340.7742
CHL,2018,327.8622
CHL,2019,328.526
CHN,2000,687.5735
CHN,2001,682.3727
CHN,2002,678.3849
CHN,2003,673.7059
CHN,2004,673.3764
CHN,2005,659.0902
CHN,2006,627.9857
CHN,2007,607.3568
CHN,2008,599.0711
CHN,2009,593.9363
CHN,2010,590.7051
CHN,2011,579.7186
CHN,2012,562.6953
CHN,2013,548.6472
CHN,2014,535.3297
CHN,2015,521.355
CHN,2016,514.4859
CHN,2017,505.1145
CHN,2018,496.6205
CHN,2019,491.525
CIV,2000,779.943
CIV,2001,766.4996
CIV,2002,756.185
CIV,2003,752.5772
CIV,2004,744.6774
CIV,2005,734.1272
CIV,2006,742.15
CIV,2007,736.6106
CIV,2008,713.4245
CIV,2009,718.7011
CIV,2010,723.74
CIV,2011,710.4429
CIV,2012,706.1001
CIV,2013,696.8621
CIV,2014,676.7426
CIV,2015,663.8327
CIV,2016,646.4868
CIV,2017,632.6886
CIV,2018,624.7172
CIV,2019,618.1413
CMR,2000,774.193
CMR,2001,775.4163
CMR,2002,773.2878
CMR,2003,773.9737
CMR,2004,768.7594
CMR,2005,782.1669
CMR,2006,783.7742
CMR,2007,770.8117
CMR,2008,763.414
CMR,2009,758.1123
CMR,2010,749.1038
CMR,2011,746.192
CMR,2012,738.3208
CMR,2013,731.7088
CMR,2014,717.1222
CMR,2015,700.6856
CMR,2016,686.1246
CMR,2017,672.7538
CMR,2018,665.1824
CMR,2019,660.5367
COD,2000,753.806
COD,2001,749.9872
COD,2002,739.52
COD,2003,747.3604
COD,2004,742.0818
COD,2005,735.6375
COD,2006,731.8378
