year,iso3,country,region,gdppc,pm25_concentration,population
2008,NLD,Netherlands,Europe,57879.9437553916,12.78,16597257
2008,NCL,New Caledonia,Oceania,37353.7374256261,0.33,253832
2008,NZL,New Zealand,Oceania,31252.9625640673,1.54,4261819
2008,NIC,Nicaragua,North America,1493.90454426773,3.07,5576597
2008,NER,Niger,Africa,472.178427355585,4.19,15361920
2008,NGA,Nigeria,Africa,2227.79034922679,14.67,157595017
2008,MNP,Northern Mariana Islands,Oceania,15641.657782516,0.39,57164
2008,NOR,Norway,Europe,97503.5407803783,4.16,4768099
2008,OMN,Oman,Asia,22974.2773504319,10.67,2626536
2008,PAK,Pakistan,Asia,1087.51477702611,33.59,189499114
2008,PLW,Palau,Oceania,10531.2188849151,0.19,19029
2008,PAN,Panama,North America,7197.11078610101,1.43,3500643
2008,PNG,Papua New Guinea,Oceania,1635.03956584558,0.99,7183002
2008,PRY,Paraguay,South America,4360.4291089526,7.49,5613576
2008,PER,Peru,South America,4184.88598248749,13.79,28719038
2008,PHL,Philippines,Asia,1990.35612886581,7.66,92699093
2008,POL,Poland,Europe,13995.7811598115,16.22,37995902
2008,PRT,Portugal,Europe,24949.0413566739,6.76,10564085
2008,PRI,Puerto Rico,North America,24898.3345857045,1.35,3749129
2008,QAT,Qatar,Asia,79811.5977371757,22.1,1426942
2008,COG,Republic of Congo,Africa,2848.6531631791,22.7,4113514
2008,ROU,Romania,Europe,10435.2179803541,12.07,20718744
2008,RUS,Russia,Europe,11635.2841796875,11.92,143811835
2008,RWA,Rwanda,Africa,529.529272024533,18.97,9804268
2008,KNA,Saint Kitts and Nevis,North America,16491.8850906212,0.6,46857
2008,LCA,Saint Lucia,North America,8528.68208470429,0.87,168815
2008,VCT,Saint Vincent and the Grenadines,North America,6641.49587783512,0.61,111046
2008,WSM,Samoa,Oceania,3344.05455878019,0.1,190118
2008,SMR,San Marino,Europe,77962.1439875871,10.25,29720
2008,STP,Sao Tome and Principe,Africa,1080.55656768454,8.82,173808
2008,SAU,Saudi Arabia,Asia,18944.859586127,12.21,23287883
2008,SEN,Senegal,Africa,1419.5309032462,3.24,12048962
2008,SRB,Serbia,Europe,7101.04014116862,11.59,7454285
2008,SYC,Seychelles,Africa,11265.4376270005,0.46,92563
2008,SLE,Sierra Leone,Africa,402.553405463525,6.29,5894728
2008,SGP,Singapore,Asia,40008.5720489092,14.3,4806742
2008,SVK,Slovakia,Europe,18753.5849413816,14.23,5379125
2008,SVN,Slovenia,Europe,27595.5999653992,12.03,2025090
2008,SLB,Solomon Islands,Oceania,1504.52749470466,0.21,508802
2008,SOM,Somalia,Africa,516.704889868189,3.52,11663088
2008,ZAF,South Africa,Africa,6251.87742691265,17.44,51114595
2008,KOR,South Korea,Asia,21350.427979823,23.5,48356486
2008,SSD,South Sudan,Africa,1653.04153713909,8.55,8817645
2008,ESP,Spain,Europe,35510.7222312701,7.93,46235055
2008,LKA,Sri Lanka,Asia,2007.02665500962,8.26,20629377
2008,PSE,State of Palestine,Asia,2035.20234121766,9.07,3829038
2008,SDN,Sudan,Africa,1585.58239746094,4.8,33623981
2008,SUR,Suriname,South America,6616.8151257419,1.02,537252
2008,SWZ,Swaziland,Africa,3022.45617748042,16.56,1098098
2008,SWE,Sweden,Europe,56152.552340314,5.4,9219903
2008,CHE,Switzerland,Europe,74175.1927898555,11.96,7641729
2008,SYR,Syria,Asia,2447.50716168131,12.0,21636565
2008,TJK,Tajikistan,Asia,704.650178811389,29.57,7338403
2008,TZA,Tanzania,Africa,671.244445800781,8.98,42570728
2008,THA,Thailand,Asia,4327.79747040393,26.72,67619834
2009,AFG,Afghanistan,Asia,453.387385142577,10.51,27466101
2009,ALB,Albania,Europe,4114.13403283023,9.01,2961487
2009,DZA,Algeria,Africa,4270.85845146029,4.66,35490443
2009,ASM,American Samoa,Oceania,12191.5977314597,0.1,55541
2009,AND,Andorra,Europe,49950.9334988206,5.48,83908
2009,AGO,Angola,Africa,3123.69888517374,14.98,22414774
2009,ATG,Antigua and Barbuda,North America,16401.0273315405,0.5,84192
2009,ARG,Argentina,South America,8184.38988923991,7.19,40854832
2009,ARM,Armenia,Asia,2917.36624185176,14.01,2945518
2009,ABW,Aruba,North America,25740.7702303087,1.5,99040
2009,AUS,Australia,Oceania,42816.5674002829,2.92,21783014
2009,AUT,Austria,Europe,48153.3240199631,13.91,8345072
2009,AZE,Azerbaijan,Asia,4950.39949009423,14.25,9046336
2009,BHS,Bahamas,North America,27120.6905452145,1.38,362807
2009,BHR,Bahrain,Asia,19448.1832553789,21.45,1183616
2009,BGD,Bangladesh,Asia,698.503078776717,54.68,150873716
2009,BRB,Barbados,North America,16314.6692184915,0.53,274137
2009,BLR,Belarus,Europe,5352.48809190697,14.76,9507334
2009,BEL,Belgium,Europe,44760.2912443709,13.66,10812936
2009,BLZ,Belize,North America,5352.09598732755,2.55,312618
2009,BEN,Benin,Africa,1061.71835954714,10.89,9509432
2009,BMU,Bermuda,North America,101407.764031934,1.03,63587
2009,BTN,Bhutan,Asia,1908.24964779322,25.19,693995
2009,BOL,Bolivia,South America,1725.14628617645,7.2,10016280
2009,BIH,Bosnia and Herzegovina,Europe,4542.31167332328,11.07,3879798
2009,BWA,Botswana,Africa,4938.24990584092,12.64,1990671
2009,BRA,Brazil,South America,8569.90254736072,7.51,192079956
2009,BRN,Brunei Darussalam,Asia,27497.546869338,13.36,384964
